archivo,region,selector,propiedad,valor,token,decision
"usuarios.html","<style>",".btn-danger:hover","background","#fecaca","","sobre-oscuro"
"ventas-estadisticas.html","<style>","/ .navbar","background","#1a1a2e","","sobre-oscuro"
"ventas-estadisticas.html","<style>","/ .navbar","color","white","","sobre-oscuro"
"ventas-estadisticas.html","<style>",".wgt-card","box-shadow","0 2px 8px rgba(0,0,0,.07)","","sin-mapa"
"ventas-estadisticas.html","<style>",".cfg-panel","box-shadow","-4px 0 24px rgba(0,0,0,.15)","","sin-mapa"
"ventas-estadisticas.html","<style>",".dem-card:hover","box-shadow","0 3px 10px rgba(0,0,0,.1)","","sin-mapa"
"ventas-estadisticas.html","<style>",".bar-period-list","box-shadow","0 8px 24px rgba(0,0,0,.12)","","sin-mapa"
"ventas-estadisticas.html","style=","","background","white","--sup","convertido"
"js/api.js","template CSS","/ .cp-marca","color","#fff","","sobre-oscuro"
"js/api.js","template CSS","@keyframes cp-beat { 0%, 42%, 100%","box-shadow","0 0 0 0  rgba(201,255,31,.55)","","sin-mapa"
"js/api.js","template CSS","12%","box-shadow","0 0 0 7px rgba(201,255,31,0)","","sin-mapa"
"js/api.js","template CSS","26%","box-shadow","0 0 0 10px rgba(201,255,31,0)","","sin-mapa"
"js/api.js","template CSS","/ .cp-beat.cp-off","background","#9CA194","","sobre-oscuro"
"js/api.js","template CSS","/ .cp-beat.cp-off","box-shadow","none","","sin-mapa"
"js/api.js","template CSS",".cp-caja.cp-cerrada","background","#dc2626","","sobre-oscuro"
"js/api.js","template CSS",".cp-caja.cp-cerrada","box-shadow","0 0 0 2px #7f1d1d","","sin-mapa"
"js/api.js","template CSS","/ #ui-cargando","box-shadow","0 8px 26px rgba(0,0,0,.28)","","sin-mapa"
"js/api.js","template CSS","#ui-progress","box-shadow","0 0 8px rgba(201,255,31,.55)","","sin-mapa"
"js/api.js","template CSS","/ .ui-overlay-box","box-shadow","0 16px 48px rgba(0,0,0,.38)","","sin-mapa"
"js/api.js","template CSS","/ .ui-overlay-box","color","#E9EBE1","","sobre-oscuro"
"js/api.js","template CSS",".ui-toast","color","#fff","","sobre-oscuro"
"js/api.js","template CSS",".ui-toast","background","#374151","","sobre-oscuro"
"js/api.js","template CSS",".ui-toast-success","background","#16a34a","","sobre-oscuro"
"js/api.js","template CSS",".ui-toast-error","background","#dc2626","","sobre-oscuro"
"js/api.js","template CSS",".ui-toast-info","background","#4f46e5","","sobre-oscuro"
"js/sidebar.js","template CSS","/ #sidebar-home","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS","#sidebar-toggle span","background","white","","sobre-oscuro"
"js/sidebar.js","template CSS","/ #sidebar-panel","background","#1a1a2e","","sobre-oscuro"
"js/sidebar.js","template CSS","/ #sidebar-panel","box-shadow","4px 0 24px rgba(0,0,0,0.25)","","sin-mapa"
"js/sidebar.js","template CSS","/ .sidebar-title","color","#6366f1","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-link","color","#a5b4fc","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-link:hover","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-link.active","background","#4f46e5","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-link.active","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS","/ .sidebar-group-head","color","#a5b4fc","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-group-head:hover","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-group-head.active","background","#4f46e5","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-group-head.active","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-group-head.active .grp-arrow","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-child","color","#c4b5fd","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-child:hover","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS",".sidebar-child.active","color","white","","sobre-oscuro"
"js/sidebar.js","template CSS","/ #sidebar-mensajes-badge","background","#dc2626","","sobre-oscuro"
"js/sidebar.js","template CSS","/ #sidebar-mensajes-badge","color","white","","sobre-oscuro"
"js/sidebar.js","style=","","background","#fff","--sup","convertido"
"js/sidebar.js","style=","","box-shadow","0 18px 60px rgba(0,0,0,.4)","","sin-mapa"
"js/sidebar.js","style=","","color","#fff","--tx-inv","convertido"
"js/sidebar.js","style=","","color","#1a1a2e","--tx","convertido"
"js/sidebar.js","style=","","color","#fff","--tx-inv","convertido"
"js/sidebar.js","style=","","background","#fff","--sup","convertido"
"js/sidebar.js","style=","","box-shadow","0 18px 60px rgba(0,0,0,.4)","","sin-mapa"
"js/sidebar.js","style=","","color","#fff","--tx-inv","convertido"
"js/sidebar.js","style=","","color","#fff","--tx-inv","convertido"
"js/notificaciones.js","template CSS","#notif-bubble","background","#4f46e5","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble","color","#fff","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble","box-shadow","0 8px 24px rgba(0,0,0,.28)","","sin-mapa"
"js/notificaciones.js","template CSS","#notif-bubble:hover","background","#4338ca","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble-count","background","#dc2626","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble-count","color","#fff","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble-x","background","#fff","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble-x","color","#6b7280","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble-x","box-shadow","0 2px 6px rgba(0,0,0,.22)","","sin-mapa"
"js/notificaciones.js","template CSS","#notif-bubble-x:hover","background","#fee2e2","","sobre-oscuro"
"js/notificaciones.js","template CSS","#notif-bubble-x:hover","color","#b91c1c","","sobre-oscuro"
"js/notificaciones.js","template CSS",".notif-head","background","#4f46e5","","sobre-oscuro"
"js/notificaciones.js","template CSS",".notif-head","color","#fff","","sobre-oscuro"
"js/notificaciones.js","template CSS",".notif-head button","color","#fff","","sobre-oscuro"
"js/notificaciones.js","template CSS",".notif-toast","box-shadow","0 8px 24px rgba(0,0,0,.3)","","sin-mapa"
